model,format,task,fps,latency_p50_ms,latency_p95_ms,latency_p99_ms,compute_latency_p50_ms,compute_latency_p95_ms,compute_latency_p99_ms,gpu_utilization_pct,vram_usage_peak_mb,cpu_percent,ram_used_mb,disk_read_mb,disk_write_mb,power_w,fps_per_watt,gpu_temperature_c,cpu_temperature_c,precision,recall,map50,map50_95,mask_map50,mask_map50_95
yolov8n,pytorch,detect,44.55,9.7,49.57,61.38,7.33,46.73,53.41,11.0,1038.27,69.22,1276.52,0.0,0.0,35.66,1.25,63.0,,0.65,0.65,0.74,0.57,,
yolov8n,onnx,detect,21.84,45.12,54.31,55.68,36.41,44.62,46.59,0.0,960.27,1026.83,1643.11,0.0,0.0,15.22,1.43,61.0,,0.65,0.65,0.74,0.57,,
yolov8n,openvino,detect,19.57,51.37,57.47,59.64,44.91,51.17,53.76,0.0,958.27,609.41,1616.79,0.0,0.0,15.1,1.3,62.0,,0.65,0.65,0.74,0.57,,
yolov8n,tensorrt,detect,61.31,16.02,19.26,21.27,7.71,7.89,7.94,27.33,1152.27,79.53,2606.22,0.0,0.0,27.99,2.19,75.0,,0.65,0.65,0.74,0.57,,
yolov8l,pytorch,detect,27.17,24.63,66.82,72.69,22.01,62.55,68.46,66.33,1304.27,80.77,2550.95,0.0,0.0,91.33,0.3,80.0,,0.77,0.83,0.89,0.76,,
yolov8l,onnx,detect,1.63,607.71,639.38,671.64,595.52,629.4,631.96,0.0,1024.27,1176.61,3808.96,0.0,0.0,16.27,0.1,68.0,,0.77,0.83,0.89,0.76,,
yolov8l,openvino,detect,1.53,650.2,687.7,690.22,640.7,678.9,681.44,0.0,1022.27,837.72,3343.16,0.0,0.0,16.01,0.1,67.0,,0.77,0.82,0.89,0.75,,
yolov8l,tensorrt,detect,30.7,31.53,36.06,46.78,19.64,20.77,23.1,57.83,1810.27,83.33,3287.41,0.0,0.0,95.86,0.32,86.0,,0.77,0.83,0.89,0.76,,
yolov11n,pytorch,detect,29.1,22.45,60.13,62.03,18.11,56.35,57.94,27.0,1078.27,78.28,2529.64,0.0,0.0,37.94,0.77,79.0,,0.71,0.71,0.78,0.6,,
yolov11n,onnx,detect,12.98,76.81,84.97,88.48,62.56,69.96,72.55,0.0,1024.27,1090.14,2725.84,0.0,0.0,17.07,0.76,75.0,,0.71,0.71,0.78,0.6,,
yolov11n,openvino,detect,14.34,69.63,74.32,75.95,60.37,65.48,66.46,0.0,1022.27,658.21,2515.19,0.0,0.0,16.82,0.85,73.0,,0.71,0.71,0.78,0.6,,
yolov11n,tensorrt,detect,34.93,31.41,35.14,37.11,14.56,16.06,16.45,58.4,1152.27,81.5,2559.43,0.0,0.0,27.76,1.26,80.0,,0.71,0.71,0.78,0.6,,
yolov26n,pytorch,detect,39.91,18.12,43.59,44.48,16.25,41.24,42.54,38.5,1080.27,77.2,2478.16,0.0,0.0,34.89,1.14,76.0,,0.61,0.69,0.7,0.55,,
yolov26n,onnx,detect,19.16,52.48,55.81,56.62,42.46,44.36,45.53,0.0,1026.27,1053.88,2668.12,0.0,0.0,16.63,1.15,73.0,,0.61,0.69,0.7,0.55,,
yolov26n,openvino,detect,16.92,59.16,64.33,66.78,51.45,57.9,59.26,0.0,1024.27,618.63,2619.01,0.0,0.0,16.55,1.02,72.0,,0.6,0.69,0.7,0.56,,
yolov26n,tensorrt,detect,51.76,19.24,23.67,26.9,7.5,11.29,15.04,65.75,1144.27,73.4,2631.26,0.0,0.0,31.63,1.64,81.0,,0.61,0.69,0.7,0.55,,
